Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2025-02-13,1686.4243548485804,1686.4243548485804,1686.4243548485804,1686.4243548485804,0
2025-02-14,1661.3732382861606,1661.3732382861606,1661.3732382861606,1661.3732382861606,0
2025-02-17,1679.3130316228526,1679.3130316228526,1679.3130316228526,1679.3130316228526,0
2025-02-18,1737.9294722424247,1737.9294722424247,1737.9294722424247,1737.9294722424247,0
2025-02-19,1719.9064071450964,1719.9064071450964,1719.9064071450964,1719.9064071450964,0
2025-02-20,1699.039275567663,1699.039275567663,1699.039275567663,1699.039275567663,0
2025-02-21,1696.2019003872842,1696.2019003872842,1696.2019003872842,1696.2019003872842,0
2025-02-24,1660.1174385450915,1660.1174385450915,1660.1174385450915,1660.1174385450915,0
2025-02-25,1683.699074040578,1683.699074040578,1683.699074040578,1683.699074040578,0
2025-02-26,1717.3829315697578,1717.3829315697578,1717.3829315697578,1717.3829315697578,0
2025-02-27,1699.9662287278784,1699.9662287278784,1699.9662287278784,1699.9662287278784,0
2025-02-28,1686.5921006478097,1686.5921006478097,1686.5921006478097,1686.5921006478097,0
2025-03-03,1652.5529535348126,1652.5529535348126,1652.5529535348126,1652.5529535348126,0
2025-03-04,1581.7991103785569,1581.7991103785569,1581.7991103785569,1581.7991103785569,0
2025-03-05,1647.6620957875161,1647.6620957875161,1647.6620957875161,1647.6620957875161,0
2025-03-06,1682.6630761635568,1682.6630761635568,1682.6630761635568,1682.6630761635568,0
2025-03-07,1695.3991958926697,1695.3991958926697,1695.3991958926697,1695.3991958926697,0
2025-03-10,1626.9326124230274,1626.9326124230274,1626.9326124230274,1626.9326124230274,0
2025-03-11,1618.7531986650838,1618.7531986650838,1618.7531986650838,1618.7531986650838,0
2025-03-12,1657.2649399648715,1657.2649399648715,1657.2649399648715,1657.2649399648715,0
2025-03-13,1669.3513149086064,1669.3513149086064,1669.3513149086064,1669.3513149086064,0
2025-03-14,1731.39045882319,1731.39045882319,1731.39045882319,1731.39045882319,0
2025-03-17,1760.2096464781894,1760.2096464781894,1760.2096464781894,1760.2096464781894,0
2025-03-18,1791.3172323478398,1791.3172323478398,1791.3172323478398,1791.3172323478398,0
2025-03-19,1774.632336622812,1774.632336622812,1774.632336622812,1774.632336622812,0
2025-03-20,1741.1928309099524,1741.1928309099524,1741.1928309099524,1741.1928309099524,0
2025-03-21,1726.5066737638883,1726.5066737638883,1726.5066737638883,1726.5066737638883,0
2025-03-24,1752.7466547431318,1752.7466547431318,1752.7466547431318,1752.7466547431318,0
2025-03-25,1790.6667609705958,1790.6667609705958,1790.6667609705958,1790.6667609705958,0
2025-03-26,1783.2268441057681,1783.2268441057681,1783.2268441057681,1783.2268441057681,0
2025-03-27,1779.3439248811019,1779.3439248811019,1779.3439248811019,1779.3439248811019,0
2025-03-28,1744.9926979506074,1744.9926979506074,1744.9926979506074,1744.9926979506074,0
2025-03-31,1699.3645290515199,1699.3645290515199,1699.3645290515199,1699.3645290515199,0
2025-04-01,1742.4761120031,1742.4761120031,1742.4761120031,1742.4761120031,0
2025-04-02,1752.2673773264446,1752.2673773264446,1752.2673773264446,1752.2673773264446,0
2025-04-03,1666.554960509563,1666.554960509563,1666.554960509563,1666.554960509563,0
2025-04-04,1496.6845186665998,1496.6845186665998,1496.6845186665998,1496.6845186665998,0
2025-04-07,1479.6637511739495,1479.6637511739495,1479.6637511739495,1479.6637511739495,0
2025-04-08,1543.6646348995228,1543.6646348995228,1543.6646348995228,1543.6646348995228,0
2025-04-09,1486.4672952312467,1486.4672952312467,1486.4672952312467,1486.4672952312467,0
2025-04-10,1578.7077836482192,1578.7077836482192,1578.7077836482192,1578.7077836482192,0
2025-04-11,1566.7016091324294,1566.7016091324294,1566.7016091324294,1566.7016091324294,0
2025-04-14,1625.1149574755084,1625.1149574755084,1625.1149574755084,1625.1149574755084,0
